madde_no,madde_baslik,raw_text,normalized_text,tokens,token_count,unique_tokens,unique_token_count,roots,sentence_count
1,Kanun,"Madde 1 - Kanun, sözüyle ve özüyle değindiği bütün konularda uygulanır. Kanunda uygulanabilir bir hüküm yoksa, hâkim, örf ve âdet hukukuna göre, bu da yoksa kendisi kanun koyucu olsaydı nasıl bir kural koyacak idiyse ona göre karar verir. Hâkim, karar verirken bilimsel görüşlerden ve yargı kararlarından yararlanır. B. Hukukî ilişkilerin kapsamı I. Dürüst davranma","madde 1 - kanun , sözüyle ve özüyle değindiği bütün konularda uygulanır . kanunda uygulanabilir bir hüküm yoksa , hakim , örf ve âdet hukukuna göre , bu da yoksa kendi kanun koyucu olsaydı nasıl bir kural koyacak idiyse ona göre karar verir . hakim , karar verirken bilimsel görüşlerden ve yargı kararlarından yararlanır . b . hukuki ilişkilerin kapsamı ı . dürüst davranma","['madde', 'kanun', 'sözüyle', 've', 'özüyle', 'değindiği', 'bütün', 'konularda', 'uygulanır', 'kanunda', 'uygulanabilir', 'bir', 'hüküm', 'yoksa', 'hakim', 'örf', 've', 'âdet', 'hukukuna', 'göre', 'bu', 'da', 'yoksa', 'kendi', 'kanun', 'koyucu', 'olsaydı', 'nasıl', 'bir', 'kural', 'koyacak', 'idiyse', 'ona', 'göre', 'karar', 'verir', 'hakim', 'karar', 'verirken', 'bilimsel', 'görüşlerden', 've', 'yargı', 'kararlarından', 'yararlanır', 'b', 'hukuki', 'ilişkilerin', 'kapsamı', 'ı', 'dürüst', 'davranma']",52,"['kural', 'hukukuna', 'bir', 'kanunda', 'hakim', 'karar', 'kapsamı', 'ilişkilerin', 'göre', 'verir', 'bilimsel', 'kendi', 'nasıl', 'koyucu', 'yoksa', 'sözüyle', 'hüküm', 'uygulanır', 'bütün', 'koyacak', 'b', 'yargı', 'konularda', 'verirken', 'dürüst', 'özüyle', 'uygulanabilir', 'kanun', 'âdet', 'idiyse', 'davranma', 'ona', 'olsaydı', 'bu', 'yararlanır', 'kararlarından', 'görüşlerden', 'ı', 'değindiği', 'da', 've', 'örf', 'madde', 'hukuki']",44,"['madde', 'kanu', 'söz', 've', 'öz', 'değin', 'bütün', 'konu', 'uygula', 'kanu', 'uygula', 'bir', 'hüküm', 'yoksa', 'hakim', 'örf', 've', 'adet', 'hukuk', 'göre', 'bu', 'da', 'yoksa', 'kendi', 'kanu', 'koy', 'ol', 'nasıl', 'bir', 'kural', 'koy', 'i', 'on', 'göre', 'kar', 'ver', 'hakim', 'kar', 'ver', 'bilimsel', 'görüş', 've', 'yargı', 'karar', 'yararlan', 'b', 'hukuki', 'ilişki', 'kapsam', 'ı', 'dürüst', 'davran']",4
2,Herkes,"Madde 2 - Herkes, haklarını kullanırken ve borçlarını yerine getirirken dürüstlük kurallarına uymak zorundadır. Bir hakkın açıkça kötüye kullanılmasını hukuk düzeni korumaz. II. İyiniyet","madde 2 - herkes , haklarını kullanırken ve borçlarını yerine getirirken dürüstlük kurallarına uymak zorundadır . bir hakkın açıkça kötüye kullanılmasını hukuk düzeni korumaz . ıı . iyiniyet","['madde', 'herkes', 'haklarını', 'kullanırken', 've', 'borçlarını', 'yerine', 'getirirken', 'dürüstlük', 'kurallarına', 'uymak', 'zorundadır', 'bir', 'hakkın', 'açıkça', 'kötüye', 'kullanılmasını', 'hukuk', 'düzeni', 'korumaz', 'ıı', 'iyiniyet']",22,"['borçlarını', 'bir', 'düzeni', 'ıı', 'yerine', 'korumaz', 'haklarını', 'herkes', 'uymak', 'getirirken', 'zorundadır', 'kötüye', 'kullanılmasını', 'kurallarına', 'kullanırken', 'dürüstlük', 'iyiniyet', 'hakkın', 've', 'hukuk', 'açıkça', 'madde']",22,"['madde', 'herkes', 'hak', 'kullan', 've', 'borç', 'yerine', 'getir', 'dürüst', 'kural', 'uy', 'zor', 'bir', 'hakk', 'açık', 'kötü', 'kullan', 'hukuk', 'düze', 'koru', 'iyiniyet']",3
3,Kanunun iyiniyete hukuk,"Madde 3 - Kanunun iyiniyete hukukî bir sonuç bağladığı durumlarda, asıl olan iyiniyetin varlığıdır. Ancak, durumun gereklerine göre kendisinden beklenen özeni göstermeyen kimse iyini yet iddiasında bulunamaz. III. Hâkimin takdir yetkisi","madde 3 - kanunun iyiniyete hukuki bir sonuç bağladığı durumlarda , asıl olan iyiniyetin varlığıdır . ancak , durumun gereklerine göre kendisinden beklenen özeni göstermeyen kimse iyini yet iddiasında bulunamaz . ııı . hakimin takdir yetkisi","['madde', 'kanunun', 'iyiniyete', 'hukuki', 'bir', 'sonuç', 'bağladığı', 'durumlarda', 'asıl', 'olan', 'iyiniyetin', 'varlığıdır', 'ancak', 'durumun', 'gereklerine', 'göre', 'kendisinden', 'beklenen', 'özeni', 'göstermeyen', 'kimse', 'iyini', 'yet', 'iddiasında', 'bulunamaz', 'ııı', 'hakimin', 'takdir', 'yetkisi']",29,"['bir', 'iyiniyete', 'göre', 'gereklerine', 'beklenen', 'sonuç', 'hakimin', 'olan', 'kanunun', 'durumlarda', 'durumun', 'iyiniyetin', 'ııı', 'iddiasında', 'yetkisi', 'bağladığı', 'takdir', 'kimse', 'özeni', 'iyini', 'varlığıdır', 'asıl', 'yet', 'ancak', 'bulunamaz', 'kendisinden', 'madde', 'hukuki', 'göstermeyen']",29,"['madde', 'kanu', 'iyiniyet', 'hukuki', 'bir', 'sonuç', 'bağla', 'durum', 'asıl', 'ol', 'iyiniyet', 'varlığ', 'ancak', 'durum', 'gerek', 'göre', 'kendi', 'bek', 'öze', 'göster', 'kimse', 'iyi', 'yet', 'iddia', 'bulun', 'haki', 'takdir', 'yetki']",3
4,Kanunun takdir yetkisi tanıdığı veya durumun gereklerini ya da haklı sebepleri göz önünde tutmayı emrettiği konularda h,"Madde 4 - Kanunun takdir yetkisi tanıdığı veya durumun gereklerini ya da haklı sebepleri göz önünde tutmayı emrettiği konularda hâkim, hukuka ve hakkaniyete göre karar verir. C. Genel nitelikli hükü mler","madde 4 - kanunun takdir yetkisi tanıdığı veya durumun gereklerini ya da haklı sebepleri göz önünde tutmayı emrettiği konularda hakim , hukuka ve hakkaniyete göre karar verir . c . genel nitelikli hükümler","['madde', 'kanunun', 'takdir', 'yetkisi', 'tanıdığı', 'veya', 'durumun', 'gereklerini', 'ya', 'da', 'haklı', 'sebepleri', 'göz', 'önünde', 'tutmayı', 'emrettiği', 'konularda', 'hakim', 'hukuka', 've', 'hakkaniyete', 'göre', 'karar', 'verir', 'c', 'genel', 'nitelikli', 'hükümler']",28,"['hakkaniyete', 'hükümler', 'hakim', 'karar', 'tanıdığı', 'göre', 'verir', 'göz', 'c', 'hukuka', 'kanunun', 'tutmayı', 'durumun', 'yetkisi', 'ya', 'konularda', 'genel', 'emrettiği', 'takdir', 'önünde', 'gereklerini', 'nitelikli', 'madde', 'veya', 'da', 've', 'haklı', 'sebepleri']",28,"['madde', 'kanu', 'takdir', 'yetki', 'tanı', 'veya', 'durum', 'gerek', 'ya', 'da', 'hak', 'sebep', 'göz', 'ön', 'tut', 'emret', 'konu', 'hakim', 'hukuk', 've', 'hakkaniyet', 'göre', 'kar', 'ver', 'c', 'genel', 'nitelik', 'hüküm']",2
5,Bu Kanun ve Borçlar Kanununun genel nitelikli hükümleri,"Madde 5 - Bu Kanun ve Borçlar Kanununun genel nitelikli hükümleri, uygun düştüğü ölçüde tüm özel hukuk ilişkilerine uygulanır. D. İspat kuralları I. İspat yükü","madde 5 - bu kanun ve borçlar kanununun genel nitelikli hükümleri , uygun düştüğü ölçüde tüm özel hukuk ilişkilerine uygulanır . d . ispat kuralları ı . ispat yükü","['madde', 'bu', 'kanun', 've', 'borçlar', 'kanununun', 'genel', 'nitelikli', 'hükümleri', 'uygun', 'düştüğü', 'ölçüde', 'tüm', 'özel', 'hukuk', 'ilişkilerine', 'uygulanır', 'd', 'ispat', 'kuralları', 'ı', 'ispat', 'yükü']",23,"['özel', 'd', 'kanununun', 'hükümleri', 'ispat', 'uygulanır', 'ölçüde', 'borçlar', 'ilişkilerine', 'genel', 'kanun', 'tüm', 'nitelikli', 'bu', 'yükü', 'ı', 've', 'hukuk', 'düştüğü', 'madde', 'uygun', 'kuralları']",22,"['madde', 'bu', 'kanu', 've', 'borç', 'kanun', 'genel', 'nitelik', 'hüküm', 'uygun', 'düş', 'ölçü', 'tüm', 'özel', 'hukuk', 'ilişki', 'uygula', 'd', 'ispat', 'kural', 'ı', 'ispat', 'yük']",2
6,Kanunda aksine bir hüküm bulunmadıkça,"Madde 6 - Kanunda aksine bir hüküm bulunmadıkça, taraflardan her biri, hakkını dayandırdığ ı olguların varlığını ispatla yükümlüdür. II. Resmî belgelerle ispat","madde 6 - kanunda aksine bir hüküm bulunmadıkça , taraflardan her biri , hakkını dayandırdığı olguların varlığını ispatla yükümlüdür . ıı . resmi belgelerle ispat","['madde', 'kanunda', 'aksine', 'bir', 'hüküm', 'bulunmadıkça', 'taraflardan', 'her', 'biri', 'hakkını', 'dayandırdığı', 'olguların', 'varlığını', 'ispatla', 'yükümlüdür', 'ıı', 'resmi', 'belgelerle', 'ispat']",19,"['bir', 'dayandırdığı', 'kanunda', 'ıı', 'ispatla', 'yükümlüdür', 'ispat', 'aksine', 'hüküm', 'varlığını', 'belgelerle', 'hakkını', 'resmi', 'taraflardan', 'bulunmadıkça', 'olguların', 'her', 'biri', 'madde']",19,"['madde', 'kanu', 'aksine', 'bir', 'hüküm', 'bulun', 'taraf', 'her', 'biri', 'hakk', 'dayan', 'olgu', 'varlığ', 'ispatla', 'yüküm', 'resmi', 'belge', 'ispat']",2
7,Resm,"Madde 7 - Resmî sicil ve senetler, belgeledikleri olguların doğruluğuna kanıt oluşturur. Bunların içeriğinin doğru olmadığının ispatı, kanunlarda başka bir hüküm bulunmadıkça, her hang i bir şekle bağlı değildir. BİRİNCİ KİTAP KİŞİLER HUKUKU BİRİNCİ KISIM GERÇEK KİŞİLER BİRİNCİ BÖLÜM KİŞİLİK A. Genel olarak I. Hak ehliyeti","madde 7 - resmi sicil ve senetler , belgeledikleri olguların doğruluğuna kanıt oluşturur . bunların içeriğinin doğru olmadığının ispatı , kanunlarda başka bir hüküm bulunmadıkça , her hangi bir şekle bağlı değildir . birinci kitap kişiler hukuku birinci kısım gerçek kişiler birinci bölüm kişilik a . genel olarak ı . hak ehliyeti","['madde', 'resmi', 'sicil', 've', 'senetler', 'belgeledikleri', 'olguların', 'doğruluğuna', 'kanıt', 'oluşturur', 'bunların', 'içeriğinin', 'doğru', 'olmadığının', 'ispatı', 'kanunlarda', 'başka', 'bir', 'hüküm', 'bulunmadıkça', 'her', 'hangi', 'bir', 'şekle', 'bağlı', 'değildir', 'birinci', 'kitap', 'kişiler', 'hukuku', 'birinci', 'kısım', 'gerçek', 'kişiler', 'birinci', 'bölüm', 'kişilik', 'a', 'genel', 'olarak', 'ı', 'hak', 'ehliyeti']",43,"['olmadığının', 'senetler', 'bir', 'şekle', 'a', 'kanıt', 'oluşturur', 'bağlı', 'hak', 'başka', 'kitap', 'bölüm', 'kanunlarda', 'hangi', 'değildir', 'kısım', 'hüküm', 'hukuku', 'bunların', 'sicil', 'gerçek', 'ispatı', 'belgeledikleri', 'kişilik', 'ehliyeti', 'genel', 'resmi', 'birinci', 'doğruluğuna', 'doğru', 'bulunmadıkça', 'olguların', 'ı', 'her', 've', 'kişiler', 'içeriğinin', 'madde', 'olarak']",39,"['madde', 'resmi', 'sicil', 've', 'senet', 'belgele', 'olgu', 'doğru', 'kanıt', 'oluş', 'bu', 'içeriğ', 'doğru', 'olmadığ', 'ispat', 'kanun', 'başka', 'bir', 'hüküm', 'bulun', 'her', 'hangi', 'bir', 'şek', 'bağ', 'değil', 'birinci', 'kitap', 'kişi', 'hukuk', 'birinci', 'kısım', 'gerçek', 'kişi', 'birinci', 'bölü', 'kişilik', 'a', 'genel', 'ol', 'ı', 'hak', 'ehliyet']",3
8,Her insanın hak ehliyeti vardır,"Madde 8 - Her insanın hak ehliyeti vardır. Buna göre bütün insanlar, hukuk düzeninin sınırları içinde, haklar a ve borçlara ehil olmada eşittirler. II. Fiil ehliyeti 1. Kapsamı","madde 8 - her insanın hak ehliyeti vardır . buna göre bütün insanlar , hukuk düzeninin sınırları içinde , haklar a ve borçlara ehil olmada eşittirler . ıı . fiil ehliyeti 1. kapsamı","['madde', 'her', 'insanın', 'hak', 'ehliyeti', 'vardır', 'buna', 'göre', 'bütün', 'insanlar', 'hukuk', 'düzeninin', 'sınırları', 'içinde', 'haklar', 'a', 've', 'borçlara', 'ehil', 'olmada', 'eşittirler', 'ıı', 'fiil', 'ehliyeti', 'kapsamı']",25,"['insanın', 'insanlar', 'içinde', 'a', 'ıı', 'kapsamı', 'fiil', 'göre', 'düzeninin', 'hak', 'haklar', 'sınırları', 'eşittirler', 'bütün', 'borçlara', 'ehliyeti', 'vardır', 'ehil', 'her', 'buna', 've', 'hukuk', 'olmada', 'madde']",24,"['madde', 'her', 'insa', 'hak', 'ehliyet', 'var', 'buna', 'göre', 'bütün', 'insan', 'hukuk', 'düzen', 'sınır', 'içinde', 'hakla', 'a', 've', 'borç', 'ehil', 'ol', 'eşit', 'fiil', 'ehliyet', 'kapsam']",3
9,Fiil ehliyetine sahip olan kimse,"Madde 9 - Fiil ehliyetine sahip olan kimse, kendi fiilleriyle hak edinebilir ve borç altına girebilir. 2. Koşulları a. Genel olarak","madde 9 - fiil ehliyetine sahip olan kimse , kendi fiilleriyle hak edinebilir ve borç altına girebilir . 2. koşulları a . genel olarak","['madde', 'fiil', 'ehliyetine', 'sahip', 'olan', 'kimse', 'kendi', 'fiilleriyle', 'hak', 'edinebilir', 've', 'borç', 'altına', 'girebilir', 'koşulları', 'a', 'genel', 'olarak']",18,"['borç', 'genel', 'kendi', 'a', 'hak', 'edinebilir', 've', 'koşulları', 'kimse', 'olarak', 'olan', 'fiil', 'girebilir', 'altına', 'madde', 'sahip', 'fiilleriyle', 'ehliyetine']",18,"['madde', 'fiil', 'ehliyet', 'sahip', 'ol', 'kimse', 'kendi', 'fiil', 'hak', 'edin', 've', 'borç', 'alt', 'gir', 'koşul', 'a', 'genel', 'ol']",2
10,Ayırt etme gücüne sahip ve kısıtlı olmayan her e rgin kişinin fiil ehliyeti vardır,Madde 10 - Ayırt etme gücüne sahip ve kısıtlı olmayan her e rgin kişinin fiil ehliyeti vardır. b. Erginlik,madde 10 - ayırt etme gücüne sahip ve kısıtlı olmayan her ergin kişinin fiil ehliyeti vardır . b . erginlik,"['madde', 'ayırt', 'etme', 'gücüne', 'sahip', 've', 'kısıtlı', 'olmayan', 'her', 'ergin', 'kişinin', 'fiil', 'ehliyeti', 'vardır', 'b', 'erginlik']",16,"['etme', 'vardır', 'ehliyeti', 'her', 'kişinin', 'ergin', 've', 'olmayan', 'gücüne', 'erginlik', 'b', 'fiil', 'ayırt', 'kısıtlı', 'madde', 'sahip']",16,"['madde', 'ayırt', 'et', 'güc', 'sahip', 've', 'kısıt', 'ol', 'her', 'ergin', 'kişi', 'fiil', 'ehliyet', 'var', 'b', 'ergin']",2
