root,frequency
ve,1226
madde,1095
ol,1094
veya,924
bir,801
bu,555
miras,527
ver,464
mal,453
hakk,438
ed,369
taşınmaz,330
hal,323
bulun,319
yap,315
al,307
hak,281
eş,273
için,267
ile,262
iste,261
kişi,245
borç,236
alacak,232
diğer,227
kendi,225
hüküm,222
da,216
malik,213
biri,208
son,201
a,197
öde,197
karar,196
her,195
yüküm,191
kur,190
et,189
er,185
vesayet,183
ilişkin,181
tasarruf,176
kar,168
ı,168
tarih,168
gerek,166
yönet,166
b,163
durum,163
ana,163
tescil,157
rehin,157
baba,156
e,154
pay,154
kanu,152
istem,143
mülkiyet,143
kimse,142
o,139
önce,138
aç,137
alt,136
karşı,136
evlen,133
edin,131
içinde,130
de,130
on,129
ya,129
kazan,128
alın,128
kal,127
tapu,127
hakim,126
tereke,126
ancak,124
yıl,124
kullan,122
bağ,122
başla,122
mahkeme,122
yer,122
tarafından,122
genel,121
getir,118
sür,118
görev,118
makam,115
yetki,114
başka,114
sahip,112
dava,111
konu,109
yerine,109
üzerinde,109
sahib,108
değer,108
sebep,106
dav,106
göre,105
üzerine,104
sonra,104
belirle,104
saklı,103
taşın,103
vasi,102
değiş,101
uygun,99
çıkar,99
geç,98
kişisel,98
kütüğ,98
sened,97
sözleşme,97
gerekli,96
ilgili,96
paylaş,96
zilyet,95
ara,94
çocuk,93
ölü,92
en,91
aile,91
geri,91
çocuğ,90
c,89
ye,89
evlat,89
koşul,88
birlikte,88
intifa,88
koru,87
olur,87
iş,87
uygula,86
düş,86
doğ,86
üzer,84
üçüncü,82
gibi,81
ata,81
ise,80
düzenle,80
taraf,79
an,79
bildir,79
göster,78
süre,78
üzere,77
ait,77
vasiyet,77
arazi,76
kurul,75
iptal,75
güve,75
yararlan,74
yük,74
yasal,74
özel,73
resmi,72
yerleşim,72
ay,72
rıza,71
aynı,71
üye,71
takdirde,70
sulh,70
işlem,69
ortak,69
zarar,69
sayılı,68
önlem,68
gider,67
sağ,67
bedel,67
dernek,66
tamam,66
rehn,66
kaldır,65
şey,65
vasiyetname,64
irtifak,64
bütün,63
yazılı,63
kabul,63
haki,62
sorumlu,62
hakkında,62
yoluyla,62
ipotek,62
kural,61
iyiniyet,61
tazminat,61
fıkra,61
dış,61
ispat,60
ilan,60
mahke,60
tasfiye,60
ayırım,60
miktar,60
say,59
memur,59
katıl,59
in,58
bırak,58
boşan,58
teslim,58
tutul,57
gör,56
ortaklığ,56
ölçü,55
iv,55
borc,55
şekil,55
hukuk,54
zor,54
sicil,54
var,54
olmadık,54
el,54
değişik,54
defter,54
ortaklık,54
d,53
senet,53
yapılan,53
sınır,52
gel,52
zaman,52
belge,51
üst,51
tabi,51
sebeb,51
irat,51
mira,51
açık,50
orta,50
kuruluş,50
az,50
itiraz,50
ilişki,49
güc,49
yetkili,49
yaz,49
amac,49
temsil,49
değil,48
ibare,48
yapı,48
kısıtla,48
kamu,47
anlaş,47
özgü,47
iki,47
sebebiyle,47
ön,46
gerçek,46
ileri,46
evlilik,46
tanı,45
devam,45
gün,45
işle,45
aşağı,45
zamanaşım,45
rejim,45
aksi,45
işletme,45
ergin,44
v,44
daha,44
ikinci,44
usul,44
suret,44
belirt,44
denet,44
üç,44
vakıf,44
eşle,44
terk,44
değ,44
tenkis,44
paydaş,44
biçim,43
yarar,43
yeni,42
ölüm,42
para,42
reji,42
oluş,41
gir,41
beş,41
tehlike,41
k,41
sırasında,41
menfaat,41
kısm,41
birinci,40
ayırt,40
velayet,40
bile,40
geçerli,40
şerh,40
tut,39
temsilci,39
cumhurbaşkan,39
ek,39
otur,38
tüzel,38
malvarlık,38
satış,38
ehliyet,37
aykırı,37
kayıt,37
belirli,37
öl,37
zorunlu,37
olanak,37
su,37
eşya,37
sıra,37
kayy,37
