madde_no,madde_baslik,token_count,unique_token_count,sentence_count
1,Kanun,52,44,4
2,Herkes,22,22,3
3,Kanunun iyiniyete hukuk,29,29,3
4,Kanunun takdir yetkisi tanıdığı veya durumun gereklerini ya da haklı sebepleri göz önünde tutmayı emrettiği konularda h,28,28,2
5,Bu Kanun ve Borçlar Kanununun genel nitelikli hükümleri,23,22,2
6,Kanunda aksine bir hüküm bulunmadıkça,19,19,2
7,Resm,43,39,3
8,Her insanın hak ehliyeti vardır,25,24,3
9,Fiil ehliyetine sahip olan kimse,18,18,2
10,Ayırt etme gücüne sahip ve kısıtlı olmayan her e rgin kişinin fiil ehliyeti vardır,16,16,2
11,Erginlik onsekiz yaşın doldurulmasıyla başlar,14,13,3
12,Onbeş yaşını dolduran küçük,19,19,2
13,Yaşının küçüklüğü yüzünden veya akıl hastalığı,37,36,2
14,Ayırt etme gücü bulunmayanların,15,13,2
15,Kanunda gösterilen ayrık durumlar saklı kalmak üzere,25,23,2
16,Ayırt etme gücüne sahip küçükler ve kısıtlılar,44,36,4
17,Kan hısımlığının derecesi,35,29,3
18,Eşlerden biri ile diğer eşin kan hısımları,29,27,3
19,Yerleşim yeri bir kimsenin sürekli kalma niyetiyle oturduğu yerdir,34,28,4
20,Bir yerleşim yerinin değiştirilmesi yenisinin edinilmesine bağlıdır,36,27,3
21,Vel,47,33,4
22,Bir öğretim kurumuna devam etmek için bir yerde bulunma ya da eğitim,35,33,2
23,Kimse,60,56,5
24,Hukuka aykırı olarak kişilik hakkına saldırıla n kim se,46,43,3
25,Davacı,105,92,6
26,Adının kullanılması çekişmeli olan kişi,37,35,3
27,Adın değiştirilmesi,100,82,6
28,Kişilik,34,31,3
29,Bir hakkın kullanılması için bir kimsenin sağ veya ölü olduğunu veya belirli bir zamanda ya da başka bir kimsenin ölümünde sağ bulunduğunu ileri süren kimse,51,42,3
30,Doğum ve ölüm,32,29,3
31,Bir kimse,23,23,2
32,Ölüm tehlikesi içinde kaybolan veya kendisinden uzun zamandan beri haber alınamayan bir kimsenin ölümü hakkında kuvvetli olasılık varsa,61,55,3
33,Gaiplik kararının istenebi lmesi için,58,50,4
34,Gaipliğine karar verilecek kişi,25,25,2
35,İl,41,41,3
36,Kişisel durum,23,22,3
37,Kişisel durum sicili,55,49,4
38,Kişisel durum sicilinin tutulmasından doğan zararlar,31,27,3
39,Mahkeme kararı olmadıkça,13,13,2
40,Cinsiyetini değiştirmek isteyen kimse,86,76,4
41,Doğumlara ilişkin bildirimler ve kimliği bilinmeyen bulunmuş çocuklar hakkındaki işlemler ilgili kanun hükümlerine göre yapılır,60,50,2
43,Ölümlere ilişkin bildirimler ilgili kanun hükümlerine göre yapılır,13,13,2
44,Bir kimse,77,69,5
45,Gaiplik kararı,14,14,2
46,Tescile esas olan bir bildirimin doğru olmadığının tespit edilmesi veya kime ait olduğu bilinmeyen cesedin kimliğinin belli olması ya da gaiplik kararının kaldırılması sebepl eriyle zorunlu olan değişiklikler,47,45,2
47,Başlıbaşına bir varlığı olmak üzere örgütlenmiş kişi toplulukları ve belli bir amaca özgülenmiş olan bağımsız mal toplulukları,43,34,3
48,Tüzel kişil er,26,26,2
49,Tüzel kişiler,17,17,2
50,Tüzel kişinin iradesi,31,29,4
51,Tüzel kişinin yerleşim yeri,22,22,2
52,Sona eren tüzel kişinin kişiliği,19,18,2
53,Tüzel kişinin malvarlığının tasfiyesi,20,20,2
54,Tüzel kişinin malvarlığı,63,51,4
55,Kamu tüzel kişileri ile ti caret şirketleri hakkındaki kanun hükümleri saklıdır,18,18,2
56,Dernekler,43,39,3
57,Herkes,43,37,4
58,Her derneğin bir tüzüğü bulunur,45,40,5
59,Dernekler,34,31,3
60,Kuruluş bildirimi ve belge lerin doğruluğu ile dernek tüzüğü,121,90,6
61,,6,6,1
62,,48,45,3
63,Hiç ki mse,17,16,2
64,Fiil ehliyetine sahip bulunan her gerçek kişi ile tüzel kişiler,50,48,4
