token,frequency
ve,1226
madde,1043
veya,924
bir,799
bu,432
için,267
olarak,262
ile,262
hakkı,257
da,216
olan,201
her,194
a,194
diğer,186
ilişkin,178
halinde,171
ı,166
b,163
vesayet,163
sona,158
mal,157
karar,155
taşınmaz,155
ana,154
ıı,153
e,145
isteyebilir,132
içinde,130
ya,129
ancak,124
tarafından,122
genel,121
tapu,121
karşı,120
miras,116
de,111
yerine,109
üzerinde,109
dava,106
göre,105
üzerine,104
hakim,102
yıl,101
hak,100
önce,99
uygun,98
kişisel,98
taşınmazın,98
rehin,96
ııı,95
biri,93
gerekli,93
geri,90
c,89
başlayarak,89
sonra,89
birlikte,88
en,88
mirasbırakanın,88
olur,87
eşlerden,86
intifa,86
tescil,84
kimse,83
üçüncü,82
bağlı,81
birinin,81
ise,80
gibi,80
üzere,77
yer,77
bulunan,77
kendisine,77
kendi,75
yasal,74
güvence,74
hükümler,73
özel,73
başka,73
tasarruf,73
mirasçı,73
yerleşim,72
aynı,71
o,71
çocuğun,70
yönetim,70
takdirde,70
aile,70
sulh,70
uygulanır,69
kişi,69
olduğu,69
baba,69
kişinin,68
olması,68
tarihli,68
sayılı,68
malik,68
resmi,67
kararı,67
mirasçılar,66
hükümleri,65
onun,64
ilgili,64
borç,63
saklı,63
yazılı,63
istemi,63
evlat,63
yeri,62
hakkında,62
ait,62
yoluyla,62
alacaklı,62
kütüğüne,61
eş,61
sahibi,61
sahip,60
ayırım,60
hakları,59
çocuk,58
bütün,57
süre,57
ay,57
hakkının,56
doğan,56
iv,55
alan,55
kanun,54
yükümlüdür,54
olmadıkça,54
d,53
ispat,53
olmayan,53
yapılan,53
mahkeme,53
iptal,53
altındaki,52
irtifak,52
tazminat,51
davası,51
irat,51
maliki,51
mirasın,51
taşınır,51
altına,50
ölüme,50
mirasbırakan,50
kabul,49
ortaklık,49
rehinli,49
verir,48
arasında,48
hallerde,48
vasi,48
eşin,47
sebebiyle,47
kalan,47
senedi,47
malın,47
etme,46
itiraz,46
üst,46
dışında,45
temsil,45
makamı,45
aksi,45
tereke,45
haklı,44
v,44
ilan,44
daha,44
ikinci,44
sağ,44
eşler,44
konusu,44
vasiyet,44
az,43
evlilik,43
eden,42
ileri,42
malları,42
boşanma,42
hakkına,41
üzerinden,41
sırasında,41
dernek,41
birinci,40
ayırt,40
evlenme,40
sayılır,40
bulunduğu,40
devam,40
bile,40
saklıdır,40
yapılır,40
k,40
ermesi,40
denetim,40
şekilde,40
paylı,40
ergin,39
beş,39
halde,39
üzerindeki,39
varsa,39
yetkili,39
suretiyle,39
aşağıdaki,39
önceki,38
yeni,38
korunması,38
tüzel,38
mülkiyet,38
on,37
ortak,37
son,37
verilen,37
eder,37
belirli,37
iyiniyetli,37
rejimi,37
